Winter,Spring,Summer,Fall,Depth
10.059,13.607,22.668,17.089,0
10.09,13.238,22.461,17.056,5
10.159,13.09,22.079,17.085,10
10.238,12.866,21.317,17.115,15
10.353,12.599,20.278,17.142,20
10.492,12.297,19.085,17.166,25
10.652,12.033,17.814,17.147,30
10.794,11.866,16.614,17.054,35
10.947,11.738,15.563,16.875,40
11.124,11.701,14.777,16.577,45
11.308,11.722,14.247,16.271,50
11.508,11.77,13.917,15.943,55
11.684,11.844,13.732,15.654,60
11.843,11.912,13.641,15.438,65
11.993,11.976,13.557,15.227,70
12.114,12.05,13.522,15.051,75
12.224,12.141,13.519,14.906,80
12.334,12.211,13.483,14.753,85
12.412,12.266,13.429,14.652,90
12.475,12.296,13.359,14.498,95
12.568,12.324,13.316,14.352,100
12.65,12.397,12.988,13.732,125
12.444,12.277,12.499,13.136,150
11.988,11.875,11.925,12.453,175
11.466,11.314,11.298,11.77,200
10.819,10.656,10.639,11.119,225
10.265,10.058,10.065,10.557,250
9.945,9.656,9.679,9.999,275
9.353,9.06,9.105,9.422,300
8.856,8.496,8.628,8.867,325
8.394,7.996,8.146,8.386,350
7.902,7.541,7.691,7.915,375
7.444,7.134,7.251,7.478,400
7.041,6.789,6.87,7.052,425
6.719,6.482,6.536,6.7,450
6.476,6.349,6.294,6.346,475
6.118,6.047,6.09,6.07,500
5.729,5.632,5.74,5.587,550
5.397,5.333,5.471,5.229,600
5.137,5.103,5.232,4.982,650
5.027,4.92,5.029,4.781,700
4.905,4.787,4.849,4.635,750
4.858,4.682,4.812,4.584,800
4.812,4.583,4.637,4.452,850
4.519,4.395,4.473,4.369,900
4.304,4.286,4.318,4.318,950
4.229,4.22,4.272,4.263,1000
4.171,4.182,4.208,4.192,1050
4.121,4.138,4.137,4.102,1100
4.084,4.098,4.075,4.053,1150
4.038,4.073,4.02,4.02,1200
4.004,4.033,3.979,3.981,1250
3.972,3.984,3.944,3.931,1300
3.94,3.937,3.913,3.888,1350
3.89,3.906,3.895,3.873,1400
3.859,3.867,3.868,3.831,1450
3.858,3.831,3.834,3.814,1500
